id_tienda,tienda,provincia_tienda,ciudad_tienda,municipio_tienda,domicilio_tienda,pais_tienda,coordenadas_tienda,telefono_tienda,correo_tienda
7610,Metronorte,,,Ciudad de Guatemala,Km. 5 Carretera al Atlántico Zona 17,Guatemala,,4058-1107,
7409,Centranorte,,,Ciudad de Guatemala,Ruta al Atlántico Zona 17,Guatemala,,5769-4164,
7640,Atanasio Tzul,,,Ciudad de Guatemala,Calzada Atanasio Tzul 51-57 Zona 12,Guatemala,,4058-0894,
7414,Pradera Vistares,,,Ciudad de Guatemala,"Diagonal 19, 36-01, Zona 12",Guatemala,,3121-8393,
7603,Tikal Futura,,,Ciudad de Guatemala,Calzada Roosevelt 22-43 Zona 11,Guatemala,,4058-0974,
7629,Galerías Miraflores,,,Ciudad de Guatemala,Calzada Roosevelt Zona 11,Guatemala,,4058-1468,
7628,Metrocentro Villa Nueva,,,Villa Nueva,0 Calle 16-20 Zona 4,Guatemala,,4058-0860,
7609,Santa Clara,,,Villa Nueva,Km. 17.5 Carretera al Pacífico,Guatemala,,4058-0586,
7626,El Frutal,,,Villa Nueva,Ave. Petapa Condominio El Frutal,Guatemala,,4058-0807,
7400,Centra Sur,,,Villa Nueva,"23 C. 01-55, Z. 12, Interior CENMA",Guatemala,,4024-1345,
7604,San Cristóbal,,,Mixco,"Lote 208, Zona 8, San Cristóbal",Guatemala,,4058-0190,
7621,Plaza San Nicolás,,,Mixco,41 Avenida 3-10 Z. 4,Guatemala,,4058-1329,
7404,Naranjo Mall,,,Mixco,"23 Calle 10-00, Zona 4, Condado Naranjo",Guatemala,,3040-4956,
7646,Eskala Roosevelt,,,Mixco,Calzada Roosevelt Km. 13.8,Guatemala,,4058-1412,
7616,Plaza Florida,,,Mixco,Calzada San Juan 1-83 Zona 7,Guatemala,,4058-0670,
7622,Montserrat,,,Mixco,Calzada San Juan 14-06 Zona 4,Guatemala,,3000-4874,
7636,Pradera Concepción,,,Santa Catarina Pinula,Km. 15.5 Carr. a El Salvador,Guatemala,,4058-0876,
7645,Metroplaza San José,,,San José Pinula,Km. 18.5 Carr. a San José Pinula,Guatemala,,6634-1542,
7416,Plaza Vidú,,,San Miguel Petapa,15 Avenida 14-45 Zona 10,Guatemala,,6645-8874,
7413,Amatitlán,,,Amatitlán,Km. 27.5 Carretera CA-9 Sur,Guatemala,,3083-4745,
7403,Las Puertas San Lucas,,,San Lucas Sacatepéquez,Carr. Interamericana 1-17,Guatemala,,3027-8397,
7618,Pradera Xela,,,Quetzaltenango,"7a. Calle 7-12, Ave. Las Américas",Guatemala,,4058-1203,
7407,Interplaza Xela,,,Quetzaltenango,Km. 205 Carr. a San Marcos,Guatemala,,4554-9686,
7641,Utz Ulew Mall,,,Quetzaltenango,19 Avenida 2-40 Zona 3,Guatemala,,7797-1542,
7619,Mont Blanc,,,Quetzaltenango,"4a. Calle 18-01, Zona 3, Xela",Guatemala,,4058-1291,
7634,Coatepeque,,,Coatepeque,6a. Calle 2-08 Zona 1,Guatemala,,4058-0866,
7649,Pradera Chimaltenango,,,Chimaltenango,1ra. Calle 7-27 Zona 2,Guatemala,,4034-7401,
7644,Pradera Huehuetenango,,,Huehuetenango,Calzada Kaibil Balam Z. 11,Guatemala,,4058-0939,
7405,Pradera Santa Cruz,,,Santa Cruz del Quiché,2da. Ave. 7-37 Zona 1,Guatemala,,3027-8572,
7650,Pradera San Marcos,,,San Marcos,Km. 251 Carretera a San Marcos,Guatemala,,4058-0939,
7601,La Trinidad (Malacatán),,,Malacatán,5ta. Calle 9-55 Zona 2,Guatemala,,4585-7456,
7639,Pradera Escuintla,,,Escuintla,1a. Avenida 1-40 Zona 3,Guatemala,,4058-0882,
7415,Interplaza Escuintla,,,Escuintla,Km. 60 Autopista Palín-Escuintla,Guatemala,,3034-8520,
7617,Plaza Palmeras,,,Escuintla,1a. Avenida Zona 1,Guatemala,,4058-1157,
7608,Sta. Lucía Cotzumalguapa,,,Santa Lucía Cotz.,Km. 87.9 Carr. al Pacífico,Guatemala,,3035-3661,
7402,La Trinidad Retalhuleu,,,Retalhuleu,"1a. C., 5ta. Ave. ""A"", Z. 5",Guatemala,,3007-4809,
7625,Mazatenango,,,Mazatenango,Km. 158 Carretera al Pacífico,Guatemala,,4058-0794,
7419,Paseo Carnaval,,,Mazatenango,Km. 156.5 Carretera al Pacífico,Guatemala,,4058-0939,
7410,Chiquimulilla,,,Chiquimulilla,1a. Ave. 1-79 Zona 1,Guatemala,,5177-0292,
7643,Pradera Chiquimula,,,Chiquimula,"Km. 167.5, Ruta a Esquipulas",Guatemala,,4057-9742,
7421,Paseo Chiquimula,,,Chiquimula,11 Calle y 15 Ave. Zona 1,Guatemala,,4057-9742,
7406,Pradera Zacapa,,,Zacapa,4ta. Calle 10-27 Zona 1,Guatemala,,4536-9513,
7412,Jalapa,,,Jalapa,Calle Tránsito Rojas,Guatemala,,3046-6309,
7638,Metroplaza Jutiapa,,,Jutiapa,Km. 116.5 Carretera a El Salvador,Guatemala,,4057-9519,
7630,Jutiapa (Centro),,,Jutiapa,4ta Calle 2-49 Zona 3,Guatemala,,4057-9519,
7401,Puerto Barrios,,,Puerto Barrios,Km. 292.5 Carr. al Atlántico,Guatemala,,3003-0026,
7632,Plaza Magdalena,,,Cobán,1a. Calle 15-12 Zona 2,Guatemala,,4057-9709,
7642,Metroplaza Mundo Maya,,,Flores,"Km. 1, Flores, Petén",Guatemala,,4058-0915,
7100,Mail del Pacifico,Manabi,Manta,,8 de Abril Av. Malecón sin Av 23 y Calle 20,Ecuador,,,
7101,Paseo Shopping Riobamba,Chimborazo,Riobamba,,"Av. Antonio José de Sucre, Sector San Antonio de las Abras.",Ecuador,,,
7104,City Mall,Guayas,Guayaquil,,"Mapasingue Parroquia Tarqui, Intersección Av Felipe Pezo y B. Carrion",Ecuador,,,
7106,River Mall,Pichincha,Sangolqui,,Av Luis Cordero 377 y General Enriquez. LOCAL LG3/PB,Ecuador,,,
7108,La Malteria,Cotopaxi,Latacunga,,Av Eloy Alfaro entre calle Gatazo y Marco Aurelio Subia Local PBL 59,Ecuador,,,
7109,Mail del Sol,Guayas,Guayaquil,,"Av. Joaquin Orrantea y Av. Juan Tanca Marengo Locales 90b, 91b, y 92b, PB",Ecuador,,,
7110,Paseo Shopping Portoviejo,Manabi,Portoviejo,,"Av. Del Salto y Jorge Washington, Extensión del Puente Via Manta y Portoviejo",Ecuador,,,
7111,Rio Centro Ceibos,Guayas,Guayaquil,,"Local 17 Pb, Av. Del Bombero Km. 6 1/2 via a la Costa",Ecuador,,,
7112,Paseo Shopping Manta,Manabi,Manta,,"Av. 4 de Noviembre, No establecimiento 009,b",Ecuador,,,
7116,Policentro,Guayas,Guayaquil,,Avda del Periodista y Doctor Juan Bautista PB,Ecuador,,,
7118,Malecón y Colón,Guayas,Guayaquil,,Malecón y Colón esquina,Ecuador,,,
7119,Plaza Mayor,Guayas,Guayaquil,,"Av. Guillermo Parija Rolando y Segundo Cueva Celi, Local 2A",Ecuador,,,
7120,Paseo Shopping La Libertad,Santa Elena,Salinas,,San Francisco Mz 38 Calle 9 entre Av. 10 y 12,Ecuador,,,
7121,La Plaza Shopping Center,Imbabura,Ibarra,,Avda. Mariano Acosta 2147 y Calle Victor Gómez Jurado,Ecuador,,,
7122,Laguna Mall,Imbabura,Ibarra,,Mariano Acosta y Fray Vacas Galindo Local 137,Ecuador,,,
7124,Paseo Shopping Durán,Guayas,Duran,,Paseo Shopping Autopista Duran Boliche KM.3 % Local No. 15,Ecuador,,,
7125,El Recreo,Pichincha,Quito,,Av. Pedro Vicente Maldonado 14-205 Local 30-H,Ecuador,,,
7126,Santo Domingo,Santo Domingo de los Tsáchilas,Sto. Domingo,,Sto. Domingo de los Colorados Av. 29 de Mayo 323 y Tulcán,Ecuador,,,
7128,Rio Centro Sur,Guayas,Guayaquil,,Av 25 de julio. C.C. Rio Centro Sur Locales desde 106 hasta 110,Ecuador,,,
7129,Entre Ríos,Guayas,Guayaquil,,Centro Comercial Entre Rios Km 1 1/2 Via Sanborondon,Ecuador,,,
7131,Mall del Rio,Azuay,Cuenca,,Av. Felipe Segundo Autopista Via Asoguez Mall del Rio,Ecuador,,,
7132,CCI,Pichincha,Quito,,"Av. Amazonas N36-152 y Naciones Unidas, local es el C-220",Ecuador,,,
7133,Via Ventura,Pichincha,Tumbaco,,"Via Interoceánica lum 14 1/2 Tumbaco, local No. 50 Mall Via Ventura",Ecuador,,,
7134,Recreo Plaza,Pichincha,Quito,,Av. Pedro Vicente Maldonado S11-122 y Calvas. Ofi: Q-162,Ecuador,,,
7135,Mail del Sur,Guayas,Guayaquil,,C. Comercial Mall del Sur Av.25 de Julio y Emesto Albán,Ecuador,,,
7136,Don Daniel,Loja,Loja,,Parroquia: San sebastien Barrio: La Rivera calle 18 de Noviembre S/N y Chile,Ecuador,,,
7137,Paseo Shopping Quevedo,Los Rios,Quevedo,,Calle Av. Quito s/n Av Patria nueva,Ecuador,,,
7138,Mall de Los Andes,Tunguraliua,Ambato,,Av. Victor Hugo entre Av. Atahualpa y calle Marcos Montalvo Loc. 146,Ecuador,,,
7139,San Luis Shopping,Pichincha,Sangolqui,,San Luis Shopping Piso 2 Local 2-207,Ecuador,,,
7140,El Condado Shopping,Pichincha,Quito,,"John F. Kennedy y Mariscal Sucre Subsuelo 1, Local 224",Ecuador,,,
7142,Paseo Shopping Machala,El Oro,Machala,,"Paquisha Km2 1/2, via Machala-Pasaje, Locales 65-69",Ecuador,,,
7144,Granados Plaza,Pichincha,Quito,,De las Hiedras y Av. Granados,Ecuador,,,
7145,Paseo Shopping Santo Domingo,Santo Domingo de los Tsáchilas,Sto. Domingo,,"Av. Quito, Sector Circulo de los Continentes",Ecuador,,,
7146,Victoria Ventura Plaza,Los Rios,Quevedo,,"Av. 7 de Octubre y Decima Tercera Esquina, local 5 DC Planta Baja",Ecuador,,,
7147,Quicentro Sur,Pichincha,Quito,,Av. Quitumbe Nan y Av. Moran Valverde Locales 070 Piso 1,Ecuador,,,
7149,Scala Shopping,Pichincha,Cumbaya,,"Scala Shopping Via interoceánica, local L316",Ecuador,,,
7150,Rio Centro Norte,Guayas,Guayaquil,,Calle Francisco de Orellana S/N y Guillermo Pareja Local 22-23,Ecuador,,,
7151,Multiplaza,Esmeraldas,Esmeraldas,,Calle Pedro Vicente Maldonado S/N y Julio Estupiñan,Ecuador,,,
7152,Rio Centro Dorado,Guayas,Daule,,"Via La Aurora, Canton: Daule, Parroquia: Los Lojas",Ecuador,,,
7156,Paseo Shopping Babahoyo,Los Rios,Babahoyo,,"Entrada a Babahoyo 1 1/2km, Av Enrique Ponce Luque s/n, local # 4,5, 6",Ecuador,,,
7157,Mall del Norte,Guayas,Guayaquil,,"Av. Francisco de Orellana, sector Mucho Lote 1 Mz. 2576, piso 2, local #203-204",Ecuador,,,
7158,Gran Plazza,El Oro,Machala,,"Av 25 de junio S/N y Pasaje, L12",Ecuador,,,
7160,Portal Shopping,Pichincha,Quito,,(Dirección no especificada),Ecuador,,,
7161,Paseo Shopping Daule,Guayas,Daule,,(Dirección no especificada),Ecuador,,,
